"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S036909"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190613121240"|"AA00079"|""|"N"
"S036534"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190613121240"|"AA00079"|""|"N"
"S037644"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190613121240"|"AA00079"|""|"N"
"S038056"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190613121240"|"AA00079"|""|"N"
"S036773"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190613121240"|"AA00079"|""|"N"
"S037630"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190704144145"|"AA00079"|""|"N"
"S037184"|"WHITE HOUSE GUARDIANSHIPS MEETING (6 JUL 2019)"|"20190617125259"|"AA00079"|""|"N"
"S040269"|"UK EDUCATION EXPO (OCT 2020)"|"20201025164018"|"AA00082"|""|"N"
"S041393"|"Sevenoaks_Year 9 Sep2023_Entrance Exam_16 April 2022 (Saturday)"|"20220211104145"|"AA00084"|""|"N"
"S037396"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190617162454"|"AA00079"|""|"N"
"S037522"|"TOP SCHOOLS WEEKEND 2019"|"20190825223117"|"AA00007"|"20190825: ed schedule
sat: upp,shrew, char
sun: king's,tb"|"N"
"S035602"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190614172518"|"AA00079"|""|"N"
"S037867"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190614172518"|"AA00079"|""|"N"
"S035037"|"TOP SCHOOLS WEEKEND 2019"|"20190615122609"|"AA00029"|""|"N"
"S037054"|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190918001739"|"AA00007"|""|"N"
"S033822"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190615163658"|"AA00079"|""|"N"
