"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S036107"|13|"20171230"|4988|""|"20171230131419"|""|""|"Y"
"S035967"|36|"20171230"|11140|""|"20171230133014"|""|""|"Y"
"S035946"|13|"20180103"|4998|""|"20180103102829"|""|""|"Y"
"S035745"|103|"20180119"|12360|""|"20180119162334"|""|""|"Y"
"S035948"|13|"20180103"|4988|""|"20180103155853"|""|""|"Y"
"S035933"|13|"20180104"|4988|""|"20180104103304"|""|""|"Y"
"S034886"|534|"20180104"|600|""|"20180104113137"|""|""|"Y"
"S032494"|6|"20180120"|15000|""|"20180120101825"|""|""|"Y"
"S036132"|13|"20180105"|4988|""|"20180105150146"|""|""|"Y"
"S035955"|13|"20180105"|4988|""|"20180105153353"|""|""|"Y"
"S035489"|61|"20180106"|10200|""|"20180106122243"|""|""|"Y"
"S036241"|50|"20180106"|9500|""|"20180106151551"|""|""|"Y"
"S032175"|1|"20180108"|12990|""|"20180108150911"|""|""|"Y"
"S034571"|136|"20180108"|11000|""|"20180108173200"|""|""|"Y"
"S036247"|381|"20180109"|13000|""|"20180109104340"|""|""|"Y"
"S035135"|13|"20180109"|4988|""|"20180109141308"|""|""|"Y"
"S036240"|58|"20180109"|11310|""|"20180109184148"|""|""|"Y"
"S036079"|7|"20180111"|14750|""|"20180111184139"|""|""|"Y"
"S012336"|22|"20180112"|12050|""|"20180112151241"|""|""|"Y"
"S036137"|655|"20180110"|11550|""|"20180110114728"|"AA00054"|""|"Y"
"S035228"|6|"20180111"|15000|""|"20180111130024"|""|""|"Y"
"S034968"|6|"20180112"|15000|""|"20180112181555"|""|""|"Y"
"S034795"|6|"20180113"|15000|""|"20180113133343"|""|""|"Y"
"S035804"|655|"20180113"|11550|""|"20180113155728"|""|""|"Y"
"S035953"|3|"20180115"|11950|""|"20180115102401"|""|""|"Y"
"S036138"|50|"20180116"|9500|""|"20180116101159"|""|""|"Y"
"S030369"|11|"20180118"|11680|""|"20180118151440"|""|""|"Y"
"S035915"|6|"20180105"|15000|""|"20180118152510"|"AA00071"|""|"Y"
"S036044"|6|"20180103"|15000|""|"20180118152609"|"AA00071"|""|"Y"
"S035845"|3|"20180118"|10950|""|"20180118154953"|""|""|"Y"
"S034081"|13|"20180118"|4988|""|"20180118175434"|""|""|"Y"
"S035935"|6|"20180119"|15000|""|"20180119130257"|""|""|"Y"
"S035349"|6|"20180119"|15000|""|"20180119185850"|""|""|"Y"
