"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
15|"2017"|"A* - C"|"98"|"20181025140742"|"AA00078"|""|"GCSE"
15|"2017"|"A*"|"16"|"20181025140756"|"AA00078"|""|"A Level"
15|"2017"|"A* - C"|"97"|"20181025140812"|"AA00078"|""|"A Level"
591|"2017"|"A*"|"17.9"|"20181025164940"|"AA00078"|""|"GCSE"
591|"2017"|"A* - A"|"38.4"|"20181025164951"|"AA00078"|""|"GCSE"
591|"2017"|"A* - B"|"65.55"|"20181025165005"|"AA00078"|""|"GCSE"
591|"2017"|"A* - C"|"89.4"|"20181025165019"|"AA00078"|""|"GCSE"
591|"2017"|"A*"|"11.2"|"20181025165029"|"AA00078"|""|"A Level"
591|"2017"|"A* - A"|"31.8"|"20181025165047"|"AA00078"|""|"A Level"
591|"2017"|"A* - B"|"60.3"|"20181025165108"|"AA00078"|""|"A Level"
591|"2017"|"A* - C"|"84.4"|"20181025165124"|"AA00078"|""|"A Level"
596|"2017"|"A* - B"|"70"|"20181025170004"|"AA00078"|""|"GCSE"
596|"2017"|"A* - C"|"89"|"20181025170014"|"AA00078"|""|"GCSE"
596|"2017"|"A* - A"|"38"|"20181025170029"|"AA00078"|""|"A Level"
596|"2017"|"A* - C"|"84"|"20181025170047"|"AA00078"|""|"A Level"
599|"2017"|"A* - A"|"39"|"20181025170247"|"AA00078"|""|"A Level"
599|"2017"|"A* - A"|"34"|"20181025171026"|"AA00078"|""|"GCSE"
599|"2017"|"A* - C"|"83"|"20181025171110"|"AA00078"|""|"GCSE"
574|"2017"|"A* - B"|"68"|"20181025171522"|"AA00078"|""|"GCSE"
574|"2017"|"A* - C"|"86"|"20181025171540"|"AA00078"|""|"GCSE"
574|"2017"|"A* - C"|"84"|"20181025171604"|"AA00078"|""|"A Level"
61|"2017"|"A*"|"35"|"20181025172428"|"AA00078"|""|"GCSE"
61|"2017"|"A* - C"|"99"|"20181025172445"|"AA00078"|""|"GCSE"
61|"2017"|"A*"|"24"|"20181025172459"|"AA00078"|""|"A Level"
61|"2017"|"A* - A"|"59"|"20181025172509"|"AA00078"|""|"A Level"
61|"2017"|"A* - B"|"84"|"20181025172521"|"AA00078"|""|"A Level"
61|"2017"|"A* - C"|"94"|"20181025172550"|"AA00078"|""|"A Level"
88|"2017"|"A* - A"|"11.1"|"20181025173124"|"AA00078"|""|"GCSE"
88|"2017"|"A*"|"1.1"|"20181025173142"|"AA00078"|""|"GCSE"
88|"2017"|"A* - B"|"24.4"|"20181025173159"|"AA00078"|""|"GCSE"
88|"2017"|"A* - C"|"77.7"|"20181025173212"|"AA00078"|""|"GCSE"
88|"2017"|"A*"|"5.7"|"20181025173249"|"AA00078"|""|"A Level"
88|"2017"|"A* - A"|"25.7"|"20181025173316"|"AA00078"|""|"A Level"
88|"2017"|"A* - B"|"57.6"|"20181025173342"|"AA00078"|""|"A Level"
88|"2017"|"A* - C"|"83.3"|"20181025173401"|"AA00078"|""|"A Level"
285|"2017"|"A* - B"|"64.4"|"20181025174329"|"AA00078"|""|"GCSE"
285|"2017"|"A* - C"|"88.1"|"20181025174352"|"AA00078"|""|"GCSE"
285|"2017"|"A* - C"|"80"|"20181025174423"|"AA00078"|""|"A Level"
65|"2017"|"A* - C"|"94"|"20181025175351"|"AA00078"|""|"GCSE"
65|"2017"|"A* - C"|"90"|"20181025175417"|"AA00078"|""|"A Level"
30000|"2017"|"A*"|"21"|"20181025180027"|"AA00078"|""|"GCSE"
30000|"2017"|"A* - A"|"36"|"20181025180033"|"AA00078"|""|"GCSE"
30000|"2017"|"A* - B"|"66"|"20181025180040"|"AA00078"|""|"GCSE"
30000|"2017"|"A* - C"|"87"|"20181025180048"|"AA00078"|""|"GCSE"
30000|"2017"|"A*"|"8"|"20181025180112"|"AA00078"|""|"A Level"
30000|"2017"|"A* - A"|"20"|"20181025180122"|"AA00078"|""|"A Level"
30000|"2017"|"A* - B"|"65"|"20181025180138"|"AA00078"|""|"A Level"
30000|"2017"|"A* - C"|"78"|"20181025180153"|"AA00078"|""|"A Level"
136|"2017"|"A*"|"45.1"|"20181025181604"|"AA00078"|""|"GCSE"
136|"2017"|"A* - A"|"71.9"|"20181025181615"|"AA00078"|""|"GCSE"
136|"2017"|"A* - B"|"88.7"|"20181025181634"|"AA00078"|""|"GCSE"
136|"2017"|"A* - C"|"96.8"|"20181025181646"|"AA00078"|""|"GCSE"
136|"2017"|"A*"|"17.2"|"20181025181658"|"AA00078"|""|"A Level"
136|"2017"|"A* - A"|"50"|"20181025181706"|"AA00078"|""|"A Level"
136|"2017"|"A* - B"|"76.6"|"20181025181714"|"AA00078"|""|"A Level"
136|"2017"|"A* - C"|"91"|"20181025181729"|"AA00078"|""|"A Level"
278|"2017"|"A*"|"38.6"|"20181025181818"|"AA00078"|""|"GCSE"
278|"2017"|"A* - A"|"66.4"|"20181025181847"|"AA00078"|""|"GCSE"
278|"2017"|"A* - B"|"84.4"|"20181025181906"|"AA00078"|""|"GCSE"
278|"2017"|"A* - C"|"95.5"|"20181025181923"|"AA00078"|""|"GCSE"
278|"2017"|"A*"|"18.2"|"20181025181934"|"AA00078"|""|"A Level"
278|"2017"|"A* - B"|"70.6"|"20181025181946"|"AA00078"|""|"A Level"
278|"2017"|"A* - A"|"43.7"|"20181025182002"|"AA00078"|""|"A Level"
278|"2017"|"A* - C"|"85.7"|"20181025182038"|"AA00078"|""|"A Level"
430|"2017"|"A* - A"|"43"|"20181025182232"|"AA00078"|""|"GCSE"
430|"2017"|"A* - C"|"93"|"20181025182254"|"AA00078"|""|"GCSE"
430|"2017"|"A*"|"12"|"20181025182310"|"AA00078"|""|"A Level"
430|"2017"|"A* - A"|"39"|"20181025182336"|"AA00078"|""|"A Level"
430|"2017"|"A* - C"|"82"|"20181025182407"|"AA00078"|""|"A Level"
291|"2017"|"A* - A"|"33"|"20181025182537"|"AA00078"|""|"GCSE"
291|"2017"|"A*"|"16"|"20181025182547"|"AA00078"|""|"GCSE"
291|"2017"|"A* - B"|"62"|"20181025182609"|"AA00078"|""|"GCSE"
291|"2017"|"A* - C"|"91"|"20181025182627"|"AA00078"|""|"GCSE"
291|"2017"|"A* - B"|"59"|"20181025182642"|"AA00078"|""|"A Level"
291|"2017"|"A*"|"4"|"20181025182657"|"AA00078"|""|"A Level"
291|"2017"|"A* - A"|"28"|"20181025182722"|"AA00078"|""|"A Level"
291|"2017"|"A* - C"|"86"|"20181025182738"|"AA00078"|""|"A Level"
40|"2017"|"A*"|"14.4"|"20181025182908"|"AA00078"|""|"GCSE"
40|"2017"|"A* - A"|"39.8"|"20181025182917"|"AA00078"|""|"GCSE"
40|"2017"|"A* - B"|"72.1"|"20181025182936"|"AA00078"|""|"GCSE"
40|"2017"|"A* - C"|"90.3"|"20181025182957"|"AA00078"|""|"GCSE"
40|"2017"|"A* - C"|"93"|"20181025183017"|"AA00078"|""|"A Level"
590|"2018"|"A* - B"|"68"|"20181026102206"|"AA00078"|""|"A Level"
590|"2018"|"A*(8-9)"|"41"|"20181026102215"|"AA00078"|""|"GCSE"
590|"2018"|"A* - A(7-9)"|"59"|"20181026102225"|"AA00078"|""|"GCSE"
30035|"2018"|"A* - A"|"44"|"20190216154128"|"AA00078"|""|"A Level"
46|"2018"|"A* - A"|"31"|"20181031153602"|"AA00078"|""|"A Level"
61|"2018"|"A* - B"|"83"|"20181031175441"|"AA00078"|""|"A Level"
61|"2018"|"A* - C"|"95"|"20181031175519"|"AA00078"|""|"A Level"
61|"2018"|"A*(8-9)"|"34"|"20181031175530"|"AA00078"|""|"GCSE"
61|"2018"|"A* - A(7-9)"|"57"|"20181031175549"|"AA00078"|""|"GCSE"
61|"2018"|"A* - C(4-9)"|"92"|"20181031175603"|"AA00078"|""|"GCSE"
286|"2018"|"A* - C"|"73"|"20190402153804"|"AA00078"|""|"A Level"
412|"2018"|"A* - B"|"61.2"|"20181106103628"|"AA00078"|"Reformed GCSE 6-9=61.2%, 5-9=82.1%, Unreformed GCSE A*-B=59.9%"|"GCSE"
87|"2018"|""|"33"|"20181106115314"|"AA00078"|""|"IB"
113|"2018"|"A* - C(4-9)"|"99"|"20181106153009"|"AA00078"|""|"GCSE"
28|"2017"|"A*(8-9)"|"22.2"|"20181026104933"|"AA00078"|""|"GCSE"
28|"2017"|"A* - A(7-9)"|"48.1"|"20181026104954"|"AA00078"|""|"GCSE"
28|"2017"|"A* - B(6-9)"|"71.5"|"20181026105011"|"AA00078"|""|"GCSE"
28|"2017"|"A* - B(5-9)"|"71.5"|"20181026105030"|"AA00078"|""|"GCSE"
28|"2017"|"A* - C(4-9)"|"85.6"|"20181026105056"|"AA00078"|""|"GCSE"
28|"2018"|"A*(8-9)"|"19.2"|"20181026105128"|"AA00078"|""|"GCSE"
28|"2018"|"A* - A(7-9)"|"35.6"|"20181026105137"|"AA00078"|""|"GCSE"
585|"2018"|"A*(8-9)"|"68.4"|"20190315181014"|"AA00078"|""|"GCSE"
15|"2018"|"A* - C"|"97"|"20190316122630"|"AA00078"|""|"A Level"
28|"2018"|"A* - C(4-9)"|"86.1"|"20181026105220"|"AA00078"|""|"GCSE"
30027|"2018"|"A* - A"|"59"|"20190517104805"|"AA00078"|"AS Level & Higher combined = 59%"|"Higher"
607|"2018"|"A* - B"|"57"|"20181026115936"|"AA00078"|""|"A Level"
251|"2018"|"A* - A"|"38"|"20190314101513"|"AA00078"|""|"A Level"
88|"2018"|"A - C"|"74"|"20181106163302"|"AA00078"|""|"A Level"
88|"2018"|"A* - C(4-9)"|"80"|"20181106163328"|"AA00078"|""|"GCSE"
100|"2018"|"A*"|"17.9"|"20181106171539"|"AA00078"|"AL & Pre-U combined A*=18.6%"|"A Level"
100|"2018"|"A* - A"|"50.7"|"20181106171702"|"AA00078"|"AL & Pre-U combined A*-A=53%"|"A Level"
100|"2018"|"A* - B"|"78"|"20181106171728"|"AA00078"|"AL & Pre-U combined A*-B=77.3%"|"A Level"
251|"2018"|"A* - B"|"64"|"20190314101520"|"AA00078"|""|"A Level"
100|"2018"|"A* - C"|"94.9"|"20181106171740"|"AA00078"|""|"A Level"
28|"2018"|"A* - B"|"70.2"|"20190314110041"|"AA00078"|"5-9 = 70.2, 6-9 = 56.3"|"GCSE"
100|"2018"|"A*(8-9)"|"33"|"20181106171756"|"AA00078"|""|"GCSE"
44|"2018"|"A* - B"|"56.3"|"20190314122000"|"AA00078"|""|"A Level"
30036|"2018"|"A*(8-9)"|"83"|"20190314141801"|"AA00078"|""|"GCSE"
30011|"2018"|"A* - A"|"30.5"|"20190314145528"|"AA00078"|""|"A Level"
84|"2017"|"A* - B"|"86"|"20181026142121"|"AA00078"|""|"GCSE"
84|"2017"|"A* - C"|"97"|"20181026142131"|"AA00078"|""|"GCSE"
84|"2017"|"A* - C"|"92"|"20181026142203"|"AA00078"|""|"A Level"
213|"2018"|"A* - A"|"18"|"20190411100159"|"AA00078"|""|"A Level"
218|"2018"|"A* - B"|"70"|"20181026145404"|"AA00078"|""|"A Level"
218|"2018"|"A* - C"|"89"|"20181026145412"|"AA00078"|""|"A Level"
377|"2018"|"A*"|"21.39"|"20181026161329"|"AA00078"|""|"A Level"
377|"2018"|"A* - A"|"48.13"|"20181026161339"|"AA00078"|""|"A Level"
377|"2018"|"A* - B"|"79.14"|"20181026161347"|"AA00078"|""|"A Level"
377|"2018"|"A* - C"|"91.98"|"20181026161400"|"AA00078"|""|"A Level"
377|"2018"|"A* - A(7-9)"|"56.59"|"20181026161417"|"AA00078"|""|"GCSE"
377|"2018"|"A* - B(5-9)"|"89.02"|"20181026161433"|"AA00078"|""|"GCSE"
377|"2018"|"A* - B(6-9)"|"76.1"|"20181026161449"|"AA00078"|""|"GCSE"
377|"2018"|"A* - C(4-9)"|"95.61"|"20181026161502"|"AA00078"|""|"GCSE"
100|"2018"|"A* - A(7-9)"|"70"|"20181106171805"|"AA00078"|""|"GCSE"
100|"2018"|"A* - B"|"90"|"20181106171817"|"AA00078"|""|"GCSE"
124|"2018"|"A* - C(4-9)"|"84"|"20181107121935"|"AA00078"|""|"GCSE"
59|"2018"|"A*(8-9)"|"16"|"20190319105642"|"AA00078"|""|"GCSE"
687|"2018"|"A* - C"|"95.7"|"20190314155313"|"AA00078"|""|"A Level"
191|"2018"|""|"36.8"|"20190315112046"|"AA00078"|""|"IB"
597|"2018"|"A* - C(4-9)"|"92"|"20181113102206"|"AA00078"|""|"GCSE"
500|"2018"|"A*(8-9)"|"56"|"20181108180823"|"AA00078"|"9=29.5%"|"GCSE"
500|"2018"|"A* - B"|"95"|"20181108180835"|"AA00078"|""|"GCSE"
377|"2018"|"A*(8-9)"|"34"|"20190402103540"|"AA00078"|""|"GCSE"
286|"2018"|"A*(8-9)"|"29"|"20190402153912"|"AA00078"|"9 =  12%, 8 = 17%"|"GCSE"
286|"2018"|"A* - A(7-9)"|"44"|"20190402153926"|"AA00078"|""|"GCSE"
286|"2018"|"A* - B"|"81"|"20190402153937"|"AA00078"|""|"GCSE"
286|"2018"|"A* - C(4-9)"|"96"|"20190402153958"|"AA00078"|""|"GCSE"
554|"2018"|"A* - C(4-9)"|"94.5"|"20181109114023"|"AA00078"|""|"GCSE"
30035|"2018"|"A* - B"|"78"|"20190216154135"|"AA00078"|""|"A Level"
32|"2018"|"A*(8-9)"|"17"|"20190314112034"|"AA00078"|""|"GCSE"
52|"2018"|"A*"|"6"|"20190314123244"|"AA00078"|""|"A Level"
52|"2018"|"A* - C"|"43"|"20190314123307"|"AA00078"|""|"A Level"
184|"2018"|"A* - A"|"50"|"20181113113303"|"AA00078"|""|"A Level"
30011|"2018"|"A*(8-9)"|"21.9"|"20190314142930"|"AA00078"|"8-9 = 15.7%"|"GCSE"
30007|"2018"|""|"33.1"|"20190314151119"|"AA00078"|""|"IB"
130|"2018"|"A* - C(4-9)"|"99"|"20190314180013"|"AA00078"|""|"GCSE"
130|"2018"|"A* - C"|"98"|"20190314180048"|"AA00078"|""|"A Level"
195|"2018"|"A*"|"8.23"|"20181109141845"|"AA00078"|""|"A Level"
195|"2018"|"A* - A"|"34.2"|"20181109141934"|"AA00078"|""|"A Level"
184|"2018"|"A* - A(7-9)"|"77"|"20181113113310"|"AA00078"|""|"GCSE"
195|"2018"|"A* - C"|"81.39"|"20181109141951"|"AA00078"|""|"A Level"
195|"2018"|"A*(8-9)"|"38"|"20181109142213"|"AA00078"|"9= 10.5%, 8-9= 25.5%"|"GCSE"
