"school_id"|"financialyear"|"description"|"feetype"|"fee"|"payable"|"startdate"|"enddate"|"lastupdate"|"staffid"|"remarks"
113|"2013-14"|"Year 12"|"Course"|8225|""|""|""|"20130903164721"|"AA00025"|""
113|"2013-14"|"Year 13"|"Course"|8225|""|""|""|"20130903164726"|"AA00025"|""
135|"2013-14"|"Year 9"|"Course"|3181|"Dallam School"|""|""|"20130903170324"|"AA00025"|""
135|"2013-14"|"Year 10"|"Course"|3181|"Dallam School"|""|""|"20130903170331"|"AA00025"|""
135|"2013-14"|"Year 11"|"Course"|3181|"Dallam School"|""|""|"20130903170336"|"AA00025"|""
135|"2013-14"|"Year 12"|"Course"|3580|"Dallam School"|""|""|"20130903170347"|"AA00025"|""
135|"2013-14"|"Year 13"|"Course"|3580|"Dallam School"|""|""|"20130903170352"|"AA00025"|""
155|"2013-14"|"Year 7"|"Course"|7005|"Durham School"|""|""|"20130903171154"|"AA00025"|""
155|"2013-14"|"Year 8"|"Course"|7005|"Durham School"|""|""|"20130903171159"|"AA00025"|""
155|"2013-14"|"Year 9"|"Course"|8340|"Durham School"|""|""|"20130903171206"|"AA00025"|""
155|"2013-14"|"Year 10"|"Course"|8340|"Durham School"|""|""|"20130903171214"|"AA00025"|""
155|"2013-14"|"Year 11"|"Course"|8340|"Durham School"|""|""|"20130903171224"|"AA00025"|""
155|"2013-14"|"Year 12"|"Course"|8340|"Durham School"|""|""|"20130903171233"|"AA00025"|""
155|"2013-14"|"Year 13"|"Course"|8340|"Durham School"|""|""|"20130903171238"|"AA00025"|""
167|"2013-14"|"Year 7"|"Course"|7584|"Ellesmere College Ltd"|""|""|"20130903171621"|"AA00025"|""
167|"2013-14"|"Year 8"|"Course"|7584|"Ellesmere College Ltd"|""|""|"20130903171626"|"AA00025"|""
167|"2013-14"|"Year 9"|"Course"|9480|"Ellesmere College Ltd"|""|""|"20130903171633"|"AA00025"|""
167|"2013-14"|"Year 10"|"Course"|9480|"Ellesmere College Ltd"|""|""|"20130903171639"|"AA00025"|""
167|"2013-14"|"Year 11"|"Course"|9480|"Ellesmere College Ltd"|""|""|"20130903171646"|"AA00025"|""
167|"2013-14"|"Year 12"|"Course"|9480|"Ellesmere College Ltd"|""|""|"20130903171653"|"AA00025"|""
167|"2013-14"|"Year 13"|"Course"|9480|"Ellesmere College Ltd"|""|""|"20130903171700"|"AA00025"|""
167|"2013-14"|"Deposit"|"Deposit"|0|"Ellesmere College Ltd"|""|""|"20130903171751"|"AA00025"|"Guarantee Deposit - GBP200
Returnable Depsoit - 1 term payment"
188|"2013-14"|"Year 7"|"Course"|7190|""|""|""|"20130903173543"|"AA00025"|""
188|"2013-14"|"Year 8"|"Course"|7190|""|""|""|"20130903173549"|"AA00025"|""
188|"2013-14"|"Year 9"|"Course"|7255|""|""|""|"20130903173559"|"AA00025"|""
188|"2013-14"|"Year 10"|"Course"|8590|""|""|""|"20130903173605"|"AA00025"|""
188|"2013-14"|"Year 11"|"Course"|8590|""|""|""|"20130903173612"|"AA00025"|""
488|"2013-14"|"Year 7"|"Course"|7900|"St. John's Beaumont"|""|""|"20130814160357"|"AA00025"|""
488|"2013-14"|"Year 8"|"Course"|7900|"St. John's Beaumont"|""|""|"20130814160402"|"AA00025"|""
557|"2013-14"|"Year 7"|"Course"|7208|"Truro High School"|""|""|"20130815093924"|"AA00025"|""
557|"2013-14"|"Year 8"|"Course"|7208|"Truro High School"|""|""|"20130815093930"|"AA00025"|""
557|"2013-14"|"Year 9"|"Course"|7208|"Truro High School"|""|""|"20130815093935"|"AA00025"|""
557|"2013-14"|"Year 10"|"Course"|7208|"Truro High School"|""|""|"20130815093940"|"AA00025"|""
557|"2013-14"|"Year 11"|"Course"|7208|"Truro High School"|""|""|"20130815093947"|"AA00025"|""
