"expo_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
9|577|"20161212125012"|"AA00070"|""|""|"500"|""
7|53|"20160218111857"|"AA00062"|""|""|"500"|""
9|591|"20161212125030"|"AA00070"|""|""|"500"|""
7|68|"20160218111905"|"AA00062"|""|""|"500"|""
6|211|"20151014202502"|"AA00007"|"separate booth from boys school"|""|"500"|""
8|472|"20160916130641"|"AA00070"|""|""|"500"|""
6|250|"20151014202510"|"AA00007"|""|""|"500"|""
7|134|"20160218111912"|"AA00062"|""|""|"500"|""
6|251|"20151014202520"|"AA00007"|""|""|"500"|""
10|159|"20170927122239"|"AA00070"|""|"share booth with St. Andrew"|"500"|""
6|258|"20151014202531"|"AA00007"|""|""|"500"|""
7|259|"20160218111947"|"AA00062"|""|""|"500"|""
6|322|"20151014202537"|"AA00007"|""|""|"500"|""
8|50|"20160916130649"|"AA00070"|""|""|"500"|""
6|323|"20151014202547"|"AA00007"|"separate booth fr girls school"|""|"500"|""
7|328|"20160218112006"|"AA00062"|""|""|"500"|""
6|380|"20151014202554"|"AA00007"|"interested"|""|"500"|""
9|268|"20170110172936"|"AA00070"|""|""|"500"|""
6|430|"20151014202603"|"AA00007"|""|""|"500"|""
7|362|"20160218112019"|"AA00062"|""|""|"500"|""
6|611|"20151014202610"|"AA00007"|""|""|"500"|""
8|58|"20160916130655"|"AA00070"|""|""|"500"|""
6|483|"20151014202616"|"AA00007"|"interested in, b said may not have space"|""|"500"|""
7|404|"20160218112032"|"AA00062"|""|""|"500"|""
6|687|"20151014202624"|"AA00007"|""|""|"500"|""
11|344|"20180120123821"|"AA00079"|""|""|"500"|""
6|593|"20151014202630"|"AA00007"|""|""|"500"|""
7|457|"20160218112057"|"AA00062"|"201500401: B must give a place, interested in"|""|"500"|""
8|103|"20160916130701"|"AA00070"|""|""|"500"|""
7|631|"20160218112104"|"AA00062"|""|""|"500"|""
11|303|"20180120123725"|"AA00079"|""|""|"500"|""
7|570|"20160218112119"|"AA00062"|""|""|"500"|""
6|472|"20151015103814"|"AA00007"|""|""|"500"|""
8|110|"20160916130706"|"AA00070"|""|""|"500"|""
6|139|"20151015122212"|"AA00007"|""|""|"500"|""
7|597|"20160218112126"|"AA00062"|""|""|"500"|""
6|429|"20151015122251"|"AA00007"|""|""|"500"|""
9|328|"20170113104921"|"AA00070"|""|""|"500"|""
8|655|"20160916130711"|"AA00070"|""|""|"500"|""
10|58|"20170624103912"|"AA00070"|""|""|"500"|""
8|17|"20160916130716"|"AA00070"|""|""|"500"|""
8|250|"20160916130938"|"AA00070"|""|""|"500"|""
8|251|"20160916130955"|"AA00070"|""|""|"500"|""
8|258|"20160916131005"|"AA00070"|""|""|"500"|""
8|493|"20160916131016"|"AA00070"|""|""|"500"|""
8|323|"20160916131026"|"AA00070"|""|""|"500"|""
8|380|"20160916131035"|"AA00070"|""|""|"500"|""
8|394|"20160916131045"|"AA00070"|""|""|"500"|""
8|413|"20160916131057"|"AA00070"|""|""|"500"|""
8|549|"20160916131110"|"AA00070"|""|""|"500"|""
8|30035|"20160916131255"|"AA00070"|""|""|"500"|""
8|593|"20160916131307"|"AA00070"|""|""|"500"|""
9|180|"20170119122933"|"AA00070"|""|""|"500"|""
11|404|"20180120123923"|"AA00079"|""|""|"500"|""
11|30021|"20180120123937"|"AA00079"|""|""|"500"|""
10|103|"20170624103918"|"AA00070"|""|""|"500"|""
11|597|"20180120124126"|"AA00079"|""|""|"500"|""
10|110|"20170624103923"|"AA00070"|""|""|"500"|""
10|655|"20170624103928"|"AA00070"|""|""|"500"|""
11|268|"20180120124218"|"AA00079"|""|""|"500"|""
10|17|"20170624103932"|"AA00070"|""|""|"500"|""
10|150|"20170624103942"|"AA00070"|""|""|"500"|""
11|133|"20180120124232"|"AA00079"|""|""|"500"|""
11|68|"20180120123542"|"AA00079"|""|""|"500"|""
10|413|"20170624104033"|"AA00070"|""|""|"500"|""
11|101|"20180120123600"|"AA00079"|""|""|"500"|""
10|250|"20170624103946"|"AA00070"|""|""|"500"|""
10|471|"20170817162644"|"AA00070"|""|"Share booth with Eastbourne"|"500"|""
11|325|"20180120123807"|"AA00079"|""|""|"500"|""
10|251|"20170624103952"|"AA00070"|""|""|"500"|""
11|423|"20180120123950"|"AA00079"|""|""|"500"|""
10|258|"20170624104006"|"AA00070"|""|""|"500"|""
11|504|"20180120124008"|"AA00079"|""|""|"500"|""
10|322|"20170624104016"|"AA00070"|""|""|"500"|""
11|554|"20180120124048"|"AA00079"|""|""|"500"|""
10|380|"20170624104020"|"AA00070"|""|""|"500"|""
11|577|"20180120124107"|"AA00079"|""|""|"500"|""
10|543|"20170624104029"|"AA00070"|""|""|"500"|""
10|549|"20170624104037"|"AA00070"|""|""|"500"|""
10|30035|"20170624104042"|"AA00070"|""|""|"500"|""
10|593|"20170624104046"|"AA00070"|""|""|"500"|""
