"aa_id"|"enquiryaction"|"contactrefused"|"enquirylog"|"lastupdate"|"staffid"
"S045531"|""|" "|""|"20250522134529"|"AA00011"
"S045528"|""|" "|""|"20250523111813"|"AA00011"
"S042089"|""|" "|""|"20250526105158"|"AA00011"
"S045536"|""|" "|""|"20250526125658"|"AA00011"
"S045590"|""|" "|""|"20250526163107"|"AA00011"
"S045590"|""|" "|""|"20250526163113"|"AA00011"
"S045591"|""|" "|""|"20250526163314"|"AA00011"
"S045533"|"Oral & Con Booked"|" "|""|"20250527142236"|"AA00136"
"T013765"|""|" "|""|"20250528103511"|"AA00140"
"S045540"|"Oral & Con Booked"|" "|""|"20250528104328"|"AA00140"
"S045536"|""|" "|""|"20250528113217"|"AA00011"
"S045538"|""|" "|""|"20250528141528"|"AA00011"
"S045539"|"Oral & Con Booked"|" "|""|"20250528161128"|"AA00136"
"S045541"|""|" "|""|"20250602105618"|"AA00097"
"S045543"|"Oral & Con Booked"|" "|""|"20250602174942"|"AA00136"
"S045543"|"Oral & Con Booked"|" "|""|"20250602174945"|"AA00136"
"S045545"|"Oral & Con Booked"|" "|""|"20250604104234"|"AA00140"
"S045545"|"Oral & Con Booked"|" "|""|"20250604104240"|"AA00140"
"S045564"|"Oral & Con Booked"|" "|""|"20250606145741"|"AA00136"
"S045567"|"Oral & Con Booked"|" "|""|"20250609134422"|"AA00136"
"S045577"|"Oral & Con Booked"|" "|""|"20250611105608"|"AA00136"
"S045584"|""|" "|""|"20250612111712"|"AA00136"
"S045651"|"Oral & Con Booked"|" "|""|"20250627153809"|"AA00136"
"S045688"|"Oral & Con Booked"|" "|""|"20250707170242"|"AA00136"
"T013808"|"Oral & Con Booked"|" "|""|"20250709115519"|"AA00136"
"T013809"|"AA Test + Oral & Con Booked"|" "|""|"20250709143850"|"AA00144"
"S045710"|"Oral & Con Booked"|" "|""|"20250711140027"|"AA00136"
"S045715"|"Oral & Con Booked"|" "|""|"20250714125314"|"AA00136"
"S045753"|"Oral & Con Booked"|" "|""|"20250722182219"|"AA00136"
"T013822"|"Oral & Con Booked"|" "|""|"20250722182241"|"AA00150"
"S045778"|""|" "|""|"20250801115932"|"AA00136"
"S045778"|""|" "|""|"20250801115943"|"AA00136"
"S045778"|""|" "|""|"20250801120010"|"AA00136"
"S045778"|""|" "|""|"20250801120015"|"AA00136"
"T013832"|"AA Test + Oral & Con Booked"|" "|""|"20250802114502"|"AA00150"
"S045789"|""|" "|""|"20250804151544"|"AA00097"
"S045857"|"Oral & Con Booked"|" "|""|"20250818154102"|"AA00136"
"T013852"|"Oral & Con Booked"|" "|""|"20250818154445"|"AA00136"
