"school_id"|"coursename"|"description"|"lastupdate"|"staffid"|"remarks"|"year"|"coursedate"|"name"|"subject"
3|"Year 7"|"3 Compulsory Papers
with  Declaration Form"|"20130426121311"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 8"|"For Sept 2012 Entry:

Progress in Maths 12: Section 1 - YES Calculator (20mins) Section 2 - NO Calculator (40mins) [11 Jan 2012]
English - NO Dictionary - Quick Placement Test Parts I ONLY [27 Sep 2011]
+ Composition [11 Apr 2012] (2hrs) , Quick Placement Test must be completed in full 
Non Verbal Reasoning 12-14 (45mins) (15mins practice + 30mins test) [11 Jan 2012]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
135|"Year 12"|"English Writing Test"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
3|"Year 9"|"For Sept 2012 Entry:

Maths - YES Calculator (1hr) [27 Sep 2011]
English - NO Dictionary - Quick Placement Test Parts I ONLY + Composition (2hrs) , Quick Placement Test must be completed in full [27 Sep 2011]
Non Verbal Reasoning 12-14 (45mins) (15mins  practice + 30mins test) [27 Sep 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
3|"Year 9"|""|"20130426123348"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 10"|"For Sept 2012 Entry:

Maths - YES Calculator (1hr) [27 Sep 2011]
English - NO Dictionary - Quick Placement Test Parts I & II + Composition (2hrs) , Quick Placement Test must be completed in full [27 Sep 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
3|"Year 10"|""|"20130426140311"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 9"|"3 Compulsory Papers
with Declaration Form"|"20130426123604"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 8"|"3 Compulsory Papers
with Declaration Form"|"20130426121606"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 8"|"3 Compulsory Papers"|"20130426140541"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 7"|"3 Compulsory Papers
with Declaration Form"|"20130426121320"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 5"|"For Sept 2012 Entry:

Progress in Maths 9 - NO Calculator (55mins) [23 Apr 2012]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
3|"Year 9"|"3 Compulsory Papers"|"20130426140534"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 8"|"3 Compulsory Papers"|"20130426140553"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 7"|"3 Compulsory Papers"|"20130426140608"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 5"|""|"20130426140635"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 10"|"2 Compulsory Papers"|"20130426140454"|"AA00028"|""|"2013-14"|"20130101"|""|""
3|"Year 11"|"For Sept 2012 Entry:

Maths - YES Calculator (1hr) [27 Sep 2011]
English - NO Dictionary - Quick Placement Test Parts I & II + Composition (2hrs) , Quick Placement Test must be completed in full [27 Sep 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
