"musicaudition_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"confirmed"|"schoolconfirmed"|"applicationdeadline"|"applicationdeadlineremarks"|"regfee"|"payableto"
13|9|"20200715154455"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|7|"20200819154634"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|11|"20200819154653"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|12|"20200819154700"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|22|"20200822103855"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|13|"20200901182850"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|4|"20200902112238"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|533|"20200902112308"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
13|384|"20200902112323"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
15|12|"20201107130839"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
15|13|"20201107151729"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|7|"20210706143024"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|6|"20210706143035"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|11|"20210706143042"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|2|"20210706143052"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|12|"20210706143101"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|2|"20220829100958"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|9|"20210706143116"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|22|"20210712144035"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|533|"20210814101629"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|4|"20210824152619"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
14|13|"20210903174303"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|4|"20220829102315"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|6|"20220829102324"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|7|"20220829102655"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|533|"20220829102713"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|9|"20220829102737"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|11|"20220829102744"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
16|12|"20220829102752"|"AA00079"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
