"aa_id"|"event"|"school_id"|"eventsubject"|"qualification"|"piece"|"composer"|"eventscore"|"offer"|"piority"|"lastupdate"|"staffid"|"remarks"
"S010044"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S012540"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130906150339"|"AA00002"|""
"S012002"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130906150339"|"AA00002"|""
"S012630"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S010008"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S010008"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S012433"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903004857"|"AA00007"|""
"S012430"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903004857"|"AA00007"|""
"S012655"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S012532"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S012432"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175526"|""|""
"S030182"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S030222"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S008023"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009013"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007710"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175526"|""|""
"S012667"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S009848"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S012667"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903201605"|"AA00002"|""
"S009100"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130903202224"|"AA00002"|" "
"S012027"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S011517"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S009636"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009636"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009636"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S012155"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130903202641"|"AA00002"|""
"S012213"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175526"|""|""
