"statustype"|"statusfor"
"reglious"|"keyword"
"Grammer"|"testpaper1"
"Consultation"|"testpaper4"
"Non-comm"|"keyword"
"famous_worldwide"|"keyword"
"famous_uk"|"keyword"
"campus_small"|"keyword"
"friendly"|"keyword"
"induction"|"keyword"
"value_added"|"keyword"
"sport_gd"|"keyword"
"German"|"nationality"
"Caring_ex"|"keyword"
"diamond_school"|"keyword"
"special_need"|"keyword"
"family acknowledged confirmation"|"pickupstatus"
"Consultant handle"|"pickupstatus"
"AA ONLY"|"schoolnote"
"APPLICATION PROCEDURE"|"schoolnote"
"SPORTS"|"schoolnote"
"ACTIVITIES"|"schoolnote"
"MUSIC"|"schoolnote"
"SCHOOL"|"schoolnote"
"activities_gd"|"keyword"
"geog"|"keyword"
"facilities_ex"|"keyword"
"facilities_gd"|"keyword"
"DT_ex"|"keyword"
"school_near_town"|"keyword"
"Swimming"|"keyword"
"Tennis"|"keyword"
"Skiing"|"keyword"
"Year 10"|"course"
"Year 11"|"course"
"Year 12"|"course"
"Year 13"|"course"
"18 months AL"|"course"
"1-Year AL"|"course"
"NOSkype/online/indi."|"aatest"
"1-Year GCSE"|"course"
"AA TEST ONLY"|"aatest"
"Email ONLY"|"returnmethod"
"Email & Air Mail"|"returnmethod"
"Email & Registered Mail"|"returnmethod"
"Email & Courier"|"source"
"Courier ONLY"|"returnmethod"
"Return to Officer"|"returnmethod"
"ACADEMIC"|"schoolnote"
"1-Year IGCSE"|"course"
"1-Year IGCSE/GCSE"|"course"
"1-Year Pre-AL"|"course"
"YES School"|"keyword"
"confirmation emailed family"|"pickupstatus"
"1-Year Pre-Sixth Form"|"course"
"campus_huge"|"keyword"
"Reg Form & Fee"|"collect"
"campus_enclosed"|"keyword"
"NO Form & Fee to be collected"|"collect"
"Reg Form ONLY"|"collect"
"Reg Fee ONLY"|"collect"
"Exam Fee HK$1000"|"collect"
"School"|"pickupby"
"music_ex"|"keyword"
"Quest"|"pickupby"
"WHG"|"pickupby"
"Others"|"pickupby"
"London Heathrow T5"|"arrivallocation"
"London Heathrow T4"|"arrivallocation"
"London Heathrow T3"|"arrivallocation"
"London Heathrow T2"|"arrivallocation"
"London Heathrow T1"|"arrivallocation"
"London Gatwick"|"arrivallocation"
"London Luton"|"arrivallocation"
"London Stanstead"|"arrivallocation"
"Manchester T1"|"arrivallocation"
"Manchester T2"|"arrivallocation"
"Manchester T3"|"arrivallocation"
"Belfast International"|"arrivallocation"
"Birmingham"|"arrivallocation"
"Bristol"|"arrivallocation"
"British Airways"|"flight"
"music_gd"|"keyword"
"urban"|"keyword"
"posh"|"keyword"
"Edinburgh"|"arrivallocation"
"International_environment"|"keyword"
"request made"|"pickupstatus"
"Riding_ex"|"keyword"
"sch/guardian cfm booking will be made"|"pickupstatus"
"details confirmed"|"pickupstatus"
"Email & Courier"|"returnmethod"
"Year 12_IB"|"course"
"rural"|"keyword"
"2-Year AL"|"course"
"2-Year IGCSE/GCSE"|"course"
"2-Year Pre-AL"|"course"
"3-Year AL"|"course"
"3-Year GCSE"|"course"
"Access to Further Education"|"course"
"Foundation"|"course"
"International Foundation"|"course"
"Nursery"|"course"
"Pre-AL"|"course"
"Pre-Foundation"|"course"
"Pre-GCSE"|"course"
"Pre-IB"|"course"
"Pre-Kindergarten"|"course"
"Pre-Prep"|"course"
"Pre-Sessional Course"|"course"
"Reception"|"course"
"Sixth Form Foundation"|"course"
"Summer"|"course"
"English"|"course"
"1-Year Foundation"|"course"
"Reg Form"|"schooldocumentname"
"Development Year"|"course"
"Canadian"|"nationality"
"UKiset"|"schoolnote"
"art_gd"|"keyword"
"dance_academic"|"keyword"
"fencing_ex"|"keyword"
"town school"|"keyword"
"art_ex"|"keyword"
"science"|"keyword"
"Humberside"|"arrivallocation"
"Isle of Man"|"arrivallocation"
"Leeds"|"arrivallocation"
"Newcastle"|"arrivallocation"
"Norwich"|"arrivallocation"
"Hist"|"keyword"
"special_need_school"|"keyword"
"booking made & awt contact details"|"pickupstatus"
"good feedback"|"keyword"
"Cathay Pacific"|"flight"
"Virgin Atlantic"|"flight"
"Air France"|"flight"
"Air New Zealand"|"flight"
"Emirate"|"flight"
"KLM Royal Dutch"|"flight"
"Lufthansa"|"flight"
"Qantas"|"flight"
"Qatar Airways"|"flight"
"CV"|"standarddocumentname"
"Report and Certificate"|"standarddocumentname"
"VISIT"|"schoolnote"
"Accelerated Learning Programme (BALP)"|"course"
"Others (see Remark)"|"collect"
"Reg Form & Fee & Exam Fee HK$1000"|"collect"
"Trip"|"aaschedule"
"USA"|"nationality"
"British Citizen"|"nationality"
"HKSAR"|"nationality"
"Chinese"|"nationality"
"BNO"|"nationality"
"Australian"|"nationality"
"Austria"|"nationality"
"Belgium"|"nationality"
"Canadian"|"infotype"
"Indian"|"nationality"
"Italiana"|"nationality"
"Japan"|"nationality"
"Korea"|"nationality"
"Macau"|"nationality"
"Malaysia"|"nationality"
"New Zealand"|"nationality"
"Philippines"|"nationality"
"Portuguese"|"nationality"
"Singapore"|"nationality"
"Taiwan"|"nationality"
"Thai"|"nationality"
"Year 3"|"course"
"Year 4"|"course"
"Year 5"|"course"
"Year 6"|"course"
"Year 7"|"course"
"Year 8"|"course"
"Year 9"|"course"
"PORTRAIT"|"schoolnote"
"SCHOLARSHIP"|"schoolnote"
"AA Test + Oral & Con Booked"|"action"
"Oral & Con Booked"|"action"
"Level 4"|"course"
"EARLY ENTRY SCHEME"|"schoolnote"
"Year 2"|"course"
"IB"|"keyword"
"ISI"|"schoolnote"
"AL SUBJECTS"|"schoolnote"
"FEATURE"|"schoolnote"
"Belfast George Best City Airport"|"arrivallocation"
"BTEC"|"course"
