"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S011715"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714114200"|"AA00032"|""|321|1
"S030736"|"Y"|"Quest"|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20141102"|"1500"|""|""|"20140711145843"|"AA00032"|""|30|1
"S030276"|"Y"|"WHG"|"Emirate EK1"|""|"London Heathrow T3"|"20140831"|"1215"|""|""|"20140714113403"|"AA00032"|""|309|1
"S030276"|"N"|""|"Emirate EK381"|""|"Dubai T3"|"20140831"|"0435"|""|""|"20140726140211"|"AA00032"|""|309|1
"S030276"|"Y"|"WHG"|"Emirate EK1"|""|"London Heathrow T3"|"20140831"|"1215"|"itin received"|""|"20140726140449"|"AA00032"|""|309|2
"S011940"|"Y"|"School"|"Cathay Pacific CX239"|""|"London Heathrow T3"|"20140830"|"1810"|""|""|"20140718170219"|"AA00032"|""|352|1
"S031028"|"Y"|"School"|"Virgin Atlantic VS201"|""|"London Heathrow T3"|"20140831"|"0525"|""|""|"20140718171739"|"AA00032"|""|353|1
"S031198"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140902"|"0535"|""|""|"20140712102629"|"AA00032"|""|38|1
"S031236"|"Y"|"School"|"Emirate EK381"|""|"London Heathrow T3"|"20140828"|"1215"|""|""|"20140712103956"|"AA00032"|""|57|1
"S031236"|"N"|""|"Emirate EK381"|""|"Dubai T3"|"20140828"|"0435"|"itin received"|""|"20140726142225"|"AA00032"|""|57|1
"S031236"|"N"|""|"Emirate EK001"|""|"London Heathrow T3"|"20140728"|"1215"|""|""|"20140726142317"|"AA00032"|""|57|2
"S012499"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714111110"|"AA00032"|""|277|1
"S010986"|"Y"|"Quest"|"Cathay Pacific CX251"|""|"London Heathrow T3"|"20140901"|"0540"|""|""|"20140714110047"|"AA00032"|""|257|1
"S031236"|"N"|""|"Emirate EK381"|""|"Dubai T3"|"20140828"|"0435"|"itin received"|""|"20140726142330"|"AA00032"|""|57|1
"S031236"|"Y"|"School"|"Emirate EK001"|""|"London Heathrow T3"|"20140728"|"1215"|"itin received"|""|"20140726142343"|"AA00032"|""|57|2
"S030367"|"N"|""|"Emirate EK383"|""|"Dubai"|"20140902"|"2310"|""|""|"20140726121736"|"AA00032"|""|324|1
"S030367"|"Y"|"School"|"Emirate EK007"|""|"London Heathrow T3"|"20140903"|"0700"|"itin received"|""|"20140726121800"|"AA00032"|""|324|2
"S030367"|"N"|""|"Emirate EK383"|""|"Dubai T3"|"20140902"|"2310"|""|""|"20140726143729"|"AA00032"|""|324|1
"S030367"|"Y"|"School"|"Emirate EK007"|""|"London Heathrow T3"|"20140903"|"0700"|"itin received"|""|"20140726143741"|"AA00032"|""|324|2
"S031028"|"Y"|"School"|"Virgin Atlantic VS201"|""|"London Heathrow"|"20140831"|"0525"|"itin received"|""|"20140726141926"|"AA00032"|""|353|1
"S012618"|"Y"|"School"|"Cathay Pacific CX215"|""|"London Heathrow T1"|"20140830"|"0540"|"itin received"|""|"20140726121222"|"AA00032"|"Travel alone
coach service"|231|1
