"school_id"|"detailtype"|"detail"|"case"|"lastupdate"|"staffid"
7|"School"|"1915
*80% are full boarders, over 30 nationalities
* Since 2011, Mrs Caroline Jordan, previously head of St George's Ascot. Read geology at Oxford 
* school pushes academic standard


GSG view:
A happy school that manages to turn out girls with admirable exam results without undue pressure and with rich extra-curricular experiences along the way. 'The staff make sure that life's not all about work,' say students happily. 'You leave school with so much more.'"|"N"|"20140512215752"|"AA00007"
7|"Others"|"AA only:
TS_school will not take registration before TS, refer all applicants to AA, AA HK can only deal with HK students, students in mainland will need to go thru Michael Couch"|"N"|"20140512214901"|"AA00007"
36|"SPORTS"|"*Football and Cricket, Ardingly has a national reputation, has a football academy and will open a cricket academy in Nov 14
* Football, Hockey, Netball, Athletics, Tennis, Cricket, Rugby, Sailing"|"N"|"20140520160431"|""
13|"School"|"* Since September 2013, Mr Gus Lock, read ancient and modern history at Oxford.
* less than 10 Oxbridge a year
* can ask for scholarship
* campus not far from high street, about 20 mins walk 
* near Warwick Castle
* the ethos - ‘if you’re going to do something, do it to the best of your ability’"|"N"|"20140514002539"|""
21|"AA ONLY"|"TS _school
if parents want to apply before TS, pls check with school, pls encourage parents to apply thru TS"|"N"|"20140514211641"|""
7|"School"|"1915 | 26 acres
*80% are full boarders, over 30 nationalities, 50% of boarders are from overseas (including Brunei, Hong Kong, Italy, Russia and Australia)
* Since 2011, Mrs Caroline Jordan, previously head of St George's Ascot. Read geology at Oxford 
* school pushes academic standard
* 4 boarding houses
*  A mixture of different backgrounds including wealthy country people, professional parents and academics
* Emma Watson is OGs
* about 10 per cent a year to Oxbridge 

GSG view:
A happy school that manages to turn out girls with admirable exam results without undue pressure and with rich extra-curricular experiences along the way. 'The staff make sure that life's not all about work,' say students happily. 'You leave school with so much more.'"|"N"|"20140512221338"|"AA00007"
7|"Others"|"AA only:
TS_school will not take registration before TS, refer all applicants to AA, AA HK can only deal with HK students, students in mainland will need to go thru Michael Couch
AS subjects have to be confirmed by Jan
school will not arrange airport"|"N"|"20140513113157"|""
7|"Others"|"AA only:
TS_school will not take registration before TS, refer all applicants to AA, AA HK can only deal with HK students, students in mainland will need to go thru Michael Couch
AS subjects have to be confirmed by Jan
school will not arrange airport
school does not allow photo taking at school visit"|"N"|"20140513113305"|""
472|"School"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries
*flexible"|"N"|"20140513163309"|""
472|"School"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries, During the weekend, up to 50 to 75 per cent of full boarders stay, many of these from the international mix of German, Spanish, Russian, Bulgarian and Chinese, particularly in the sixth form
*flexible curriculum, tailored to the needs of the individual
* 5 boarding houses, 2 girls and 3 boys, 2 opened in 2007 and two more in 2010, Stylish boarding house
*A handful to Oxbridge (one in 2013)
*At sixth form, students are expected to have a minimum of five Bs at GCSE
*A small number of pupils who show excpetional talent in dance have accessed the full academic curriculum as well as being offered specialist training in the Legat School of Dance, which is on site.

GSG view

The head has a 'can and will do' approach that is infectious and is influencing the SMT to set more aspirational targets for all students, particularly the middle range. A very popular school with huge opportunities for pupils - both the quirky and the conventional. We said, 'Blissfully un-neurotic about where they sit in the league tables', but this is clearly becoming less true."|"N"|"20140513165348"|""
472|"School"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries, During the weekend, up to 50 to 75 per cent of full boarders stay, many of these from the international mix of German, Spanish, Russian, Bulgarian and Chinese, particularly in the sixth form
*flexible curriculum, tailored to the needs of the individual
* 5 boarding houses, 2 girls and 3 boys, 2 opened in 2007 and two more in 2010, Stylish boarding house
*A handful to Oxbridge (one in 2013)
*At sixth form, students are expected to have a minimum of five Bs at GCSE
*A small number of pupils who show excpetional talent in dance have accessed the full academic curriculum as well as being offered specialist training in the Legat School of Dance, which is on site.
*Bede's Emerging Talent Programme Founded in the Spring Term 2014, elite sports development programme in Hockey, Cricket and Football

GSG view

The head has a 'can and will do' approach that is infectious and is influencing the SMT to set more aspirational targets for all students, particularly the middle range. A very popular school with huge opportunities for pupils - both the quirky and the conventional. We said, 'Blissfully un-neurotic about where they sit in the league tables', but this is clearly becoming less true."|"N"|"20140513170315"|""
472|"School"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries, During the weekend, up to 50 to 75 per cent of full boarders stay, many of these from the international mix of German, Spanish, Russian, Bulgarian and Chinese, particularly in the sixth form
*flexible curriculum, tailored to the needs of the individual
* 5 boarding houses, 2 girls and 3 boys, 2 opened in 2007 and two more in 2010, Stylish boarding house
*A handful to Oxbridge (one in 2013)
*At sixth form, students are expected to have a minimum of five Bs at GCSE
*A small number of pupils who show excpetional talent in dance have accessed the full academic curriculum as well as being offered specialist training in the Legat School of Dance, which is on site.
*Bede's Emerging Talent Programme Founded in the Spring Term 2014, elite sports development programme in Hockey, Cricket and Football

GSG view

The head has a 'can and will do' approach that is infectious and is influencing the SMT to set more aspirational targets for all students, particularly the middle range. A very popular school with huge opportunities for pupils - both the quirky and the conventional. We said, 'Blissfully un-neurotic about where they sit in the league tables', but this is clearly becoming less true."|"N"|"20140513170510"|""
472|"School"|"Sports:

Badminton, Cricket, Cross Country, Fencing, Football, Golf, Hockey, Netball, Rounders, Rowing, Rugby, Swimming, Target Rifle Shooting, Tennis"|"N"|"20140513170458"|""
472|"Others"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries, During the weekend, up to 50 to 75 per cent of full boarders stay, many of these from the international mix of German, Spanish, Russian, Bulgarian and Chinese, particularly in the sixth form
*flexible curriculum, tailored to the needs of the individual
* 5 boarding houses, 2 girls and 3 boys, 2 opened in 2007 and two more in 2010, Stylish boarding house
*A handful to Oxbridge (one in 2013)
*At sixth form, students are expected to have a minimum of five Bs at GCSE
*A small number of pupils who show excpetional talent in dance have accessed the full academic curriculum as well as being offered specialist training in the Legat School of Dance, which is on site.

GSG view

The head has a 'can and will do' approach that is infectious and is influencing the SMT to set more aspirational targets for all students, particularly the middle range. A very popular school with huge opportunities for pupils - both the quirky and the conventional. We said, 'Blissfully un-neurotic about where they sit in the league tables', but this is clearly becoming less true."|"N"|"20140513170521"|""
593|"SCHOOL"|"* 1933/500acres
*  All full boarders
* Start to have girls in 2010
* The majority of pupils are British and a significant minority of boarders come from families for whom English is an
additional language (EAL)
* Eight Worth pupils holding Oxbridge offers in subjects including Medicine, Music, Chinese, Natural Sciences, Mathematics, History and Psychology. 
* This may include outstanding institutions elsewhere, recent examples being Harvard, Trinity College Dublin, the University of Amsterdam, Bocconi (Italy) and the Central School of Speech and Drama.
* Offers from top Russell Group universities have also been extremely pleasing and our goal is that each student should go to his or her first choice university."|"N"|"20140805181452"|"AA00006"
556|"ACCOMMODATION"|"* 2 houses, 1 boys and 1 girls"|"N"|"20141127124050"|"AA00006"
472|"School"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries, During the weekend, up to 50 to 75 per cent of full boarders stay, many of these from the international mix of German, Spanish, Russian, Bulgarian and Chinese, particularly in the sixth form
*flexible curriculum, tailored to the needs of the individual
* 5 boarding houses, 2 girls and 3 boys, 2 opened in 2007 and two more in 2010, Stylish boarding house
*A handful to Oxbridge (one in 2013)
*At sixth form, students are expected to have a minimum of five Bs at GCSE
*A small number of pupils who show excpetional talent in dance have accessed the full academic curriculum as well as being offered specialist training in the Legat School of Dance, which is on site.

GSG view

The head has a 'can and will do' approach that is infectious and is influencing the SMT to set more aspirational targets for all students, particularly the middle range. A very popular school with huge opportunities for pupils - both the quirky and the conventional. We said, 'Blissfully un-neurotic about where they sit in the league tables', but this is clearly becoming less true."|"N"|"20140513170652"|""
472|"School"|"1978
*79% are full boarders, 2/3 from UK, the rest from 43 countries, During the weekend, up to 50 to 75 per cent of full boarders stay, many of these from the international mix of German, Spanish, Russian, Bulgarian and Chinese, particularly in the sixth form
*flexible curriculum, tailored to the needs of the individual
* 5 boarding houses, 2 girls and 3 boys, 2 opened in 2007 and two more in 2010, Stylish boarding house
*A handful to Oxbridge (one in 2013)
*At sixth form, students are expected to have a minimum of five Bs at GCSE
*A small number of pupils who show excpetional talent in dance have accessed the full academic curriculum as well as being offered specialist training in the Legat School of Dance, which is on site. BTEC Dance is available

GSG view

The head has a 'can and will do' approach that is infectious and is influencing the SMT to set more aspirational targets for all students, particularly the middle range. A very popular school with huge opportunities for pupils - both the quirky and the conventional. We said, 'Blissfully un-neurotic about where they sit in the league tables', but this is clearly becoming less true."|"N"|"20140513170829"|""
50|"Others"|"Oct Expo_School"|"N"|"20140513171852"|""
50|"School"|"1556/40acres
* provide AL and IB, IB (25-30%)
*separate science for all boys at GCSE, ESOL extra 
GCSE: Separate sciences and all boys learn at least two languages 
*75% full boarders, 16% overseas boys from 26 different countries 
*Six senior boarding houses
*13+ Boarding, 3 houses are situated on the boundaries of the School campus while 2 are sites in a suburban area just 5 minutes walk away from the School. Boys typically share rooms with 5 other boys whilst sixth formers occupy single or twin rooms.
*Sixth Form Boarding, all boys joining Bedford exclusively for the sixth form, to follow either A level or International Baccalaureate programmes, are allocated either a single study bedroom or share a twin or triple room.

GSG View
An oasis in the middle of a busy town, a predominantly day school with a boarding school ethos. An unpretentious school which has everything a boy could need."|"N"|"20140513173112"|""
58|"School"|"1541
*79% full boarders, Boarders come largely from overseas, mainly from the Far East and Africa
*IGCSEs in English, maths, sciences and RS (full course) to ensure they remain challenged
*Boarding houses are within easy walk of the school and indistinguishable from surrounding privately owned flats. Recently refurbished bedrooms, many en-suite
*Seven to Oxbridge in 2013; other popular destinations include Exeter, Birmingham, King's College London, Leicester, Nottingham, Warwick, Bristol and Durham. 

GSG View

Combines the best of a single sex and co-ed school. Study with strong spiritual basis and community ethos produces confident all-round achievers."|"N"|"20140513175646"|""
58|"Others"|"AA only:

Oct Expo_Schoo"|"N"|"20140513175723"|""
58|"School"|"1541
*79% full boarders, Boarders come largely from overseas, mainly from the Far East and Africa
*IGCSEs in English, maths, sciences and RS (full course) to ensure they remain challenged
*2 boarding houses, 1 for girls and 1 for boys, Both are located within a few minutes walk of both our senior campuses - Castle and Kings - and the town centre, many en-suite
*Seven to Oxbridge in 2013; other popular destinations include Exeter, Birmingham, King's College London, Leicester, Nottingham, Warwick, Bristol and Durham. 

GSG View

Combines the best of a single sex and co-ed school. Study with strong spiritual basis and community ethos produces confident all-round achievers."|"N"|"20140513180323"|""
58|"School"|"Sports:

Rugby, hockey, lacrosse, cricket, football, swimming and tennis compulsory, depending on age and gender"|"N"|"20140513175701"|""
58|"School"|"Sports:

Major sports for girls are Lacrosse, Netball and Tennis, and Rugby, Football, Hockey and Cricket for boys. A number of other sports are also pursued including Athletics, Badminton, Cross-Country, Eton Fives, Golf, Horse-riding, Judo, Rowing, Shooting, Squash and Swimming."|"Y"|"20140513180646"|""
59|"Others"|"AA Only:
*Oct Expo_School
* Suitable for students who are not very academic"|"N"|"20140513182304"|""
59|"School"|"*1866/60acres
* 66% full boarders, boarders come from a wide range of countries with the largerst overseas representation being from HK. 18 different nationalities represented in the Bethany pupil and teacher body with pupils coming from countries as far afield as Mexico, Nigeria, Vietnam, China, Hong Kong, and Europe
* 5 boarding houses, one mixed house for sixth form students*
*The ratio of pupils is generally 8 : 1 British to international
* No student to OXbridge in 2013, top students went to UCL, Bath,"|"N"|"20140513183835"|""
59|"School"|"*1866/60acres
* 66% full boarders, boarders come from a wide range of countries with the largerst overseas representation being from HK. 18 different nationalities represented in the Bethany pupil and teacher body with pupils coming from countries as far afield as Mexico, Nigeria, Vietnam, China, Hong Kong, and Europe
* 5 boarding houses, one mixed house for sixth form students*
*The ratio of pupils is generally 8 : 1 British to international
* No student to OXbridge in 2013, top students went to UCL, Bath, Warwick, York, Bristol"|"N"|"20140513183919"|""
13|"School"|"* less than 10 Oxbridge a year
* can ask for scholarship
* campus not far from high street, about 20 mins walk 
* near Warwick Castle"|"N"|"20140506181305"|""
13|"School"|"* Since September 2013, Mr Gus Lock, read ancient and modern history at Oxford.
* less than 10 Oxbridge a year
* can ask for scholarship
* campus not far from high street, about 20 mins walk 
* near Warwick Castle"|"N"|"20140514001818"|""
208|"MUSIC"|"* All Steinway school, providing musicians with world class pianos
* approx 40% have instrumental tuition"|"N"|"20140911175704"|"AA00006"
211|"SPORTS"|"Major sport Athletics, Hockey, Lacrosse, Netball, Rounders, Rowing, Tennis"|"N"|"20140605103200"|"AA00006"
13|"School"|"* Since September 2013, Mr Gus Lock, read ancient and modern history at Oxford.
* less than 10 Oxbridge a year
* can ask for scholarship
* campus not far from high street, about 20 mins walk 
* near Warwick Castle
* the ethos - ‘if you’re going to do something, do it to the best of your ability’
*  Art and DT very good"|"N"|"20140514003040"|""
