"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
12|"2013"|"A* - A"|"76.7"|"20131021120816"|"AA00025"|""|"A Level"
12|"2013"|"A* - B"|"94.3"|"20131021120820"|"AA00025"|""|"A Level"
576|"2013"|"A* - B"|"50"|"20131023093531"|"AA00040"|""|"A Level"
646|"2013"|"A*"|"19"|"20131023093715"|"AA00040"|""|"GCSE"
646|"2013"|"A* - A"|"27"|"20131023093720"|"AA00040"|""|"GCSE"
646|"2013"|"A*"|"-"|"20131023093724"|"AA00040"|""|"A Level"
646|"2013"|"A* - A"|"28"|"20131023093728"|"AA00040"|""|"A Level"
646|"2013"|"A* - B"|"52.5"|"20131023093732"|"AA00040"|""|"A Level"
110|"2013"|"A* - B"|"84.4"|"20131024122653"|"AA00025"|""|"A Level"
110|"2013"|"A* - A"|"51.7"|"20131024122720"|"AA00025"|""|"A Level"
110|"2013"|"A*"|"10.1"|"20131024122733"|"AA00025"|""|"A Level"
597|"2013"|"A*"|"33"|"20131024160204"|"AA00025"|""|"GCSE"
597|"2013"|"A* - A"|"74"|"20131024160213"|"AA00025"|""|"GCSE"
597|"2013"|"A*"|"12"|"20131024160221"|"AA00025"|""|"A Level"
597|"2013"|"A* - A"|"53"|"20131024160228"|"AA00025"|""|"A Level"
597|"2013"|"A* - B"|"86"|"20131024160242"|"AA00025"|""|"A Level"
510|"2013"|"A* - A"|"37.5"|"20131025100041"|"AA00040"|""|"A Level"
381|"2013"|"A* - A"|"55.71"|"20131031100050"|"AA00040"|""|"A Level"
381|"2013"|"A* - A"|"70"|"20131031100054"|"AA00040"|""|"GCSE"
2|"2013"|"A* - B"|"90"|"20131106094320"|"AA00025"|""|"A Level"
2|"2013"|"A* - A"|"71.27"|"20131106094325"|"AA00040"|""|"A Level"
2|"2013"|"A*"|"37"|"20131106094332"|"AA00025"|""|"A Level"
2|"2013"|"A* - A"|"87"|"20131106094340"|"AA00040"|""|"GCSE"
2|"2013"|"A*"|"60.2"|"20131106094355"|"AA00025"|""|"GCSE"
